table,item,source_org,source_title,url,year,note
technologies,steel_bfbof,IEA,Iron and Steel Technology Roadmap,https://www.iea.org/reports/iron-and-steel-technology-roadmap,2020,Reference BF-BOF energy/capex/direct-CO2 order of magnitude (~1.9 tCO2/t)
technologies,steel_ngdri_eaf,IEA,Iron and Steel Technology Roadmap,https://www.iea.org/reports/iron-and-steel-technology-roadmap,2020,NG-DRI+EAF energy use and transitional-asset characterisation
technologies,steel_h2dri_eaf,European Parliament (EPRS),Carbon-free steel production - Cost reduction options and usage of existing gas infrastructure,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/690008/EPRS_STU(2021)690008_EN.pdf,2021,H2-DRI+EAF hydrogen intensity (~50-60 kg H2/t) and MAC ~EUR73-166/tCO2 by 2030
technologies,steel_h2dri_eaf,LeadIT (SEI),Green Steel Tracker,https://www.industrytransition.org/green-steel-tracker/,2026,Commercial availability timeline (first plants building now)
technologies,steel_scrap_eaf,IEA,Iron and Steel Technology Roadmap,https://www.iea.org/reports/iron-and-steel-technology-roadmap,2020,"Scrap-EAF as mature, low direct-CO2 route"
technologies,steel_scrap_eaf,Material Economics,Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry,https://materialeconomics.com/sites/default/files/2024-06/material-economics-industrial-transformation-2050-executive-summary.pdf,2019,Scrap availability as the binding long-run constraint on secondary steel
technologies,cement_ref,IEA / CSI,Technology Roadmap: Low-Carbon Transition in the Cement Industry,https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry,2018,Reference kiln thermal energy (~3.4 GJ/t clinker) and clinker-ratio-driven process CO2 (0.53 tCO2/t clinker x 0.77 ratio)
technologies,cement_clinkersub,"MDPI (Sustainability, peer-reviewed)",Limestone Calcined Clay Cement (LC3): From Laboratory Innovation to Sustainable Industrial Application,https://www.mdpi.com/2071-1050/18/7/3473,2026,"LC3 clinker replacement up to ~50%, ~40% CO2 cut, near-cost-neutral"
technologies,cement_ccs,Heidelberg Materials,World premiere: CCS cement facility opens in Norway (Brevik CCS),https://www.heidelbergmaterials.com/en/pr-2025-06-18,2025,First industrial-scale cement CCS operational since 2025; available_from calibrated to this
technologies,cement_altfuel,IEA / CSI,Technology Roadmap: Low-Carbon Transition in the Cement Industry,https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry,2018,Alternative-fuel co-processing mature and widely deployed
technologies,hvc_ref,IEA,The Future of Petrochemicals,https://www.iea.org/reports/the-future-of-petrochemicals,2018,Reference steam-cracker furnace energy intensity order of magnitude
technologies,hvc_elec,BASF / SABIC / Linde,Start-up of the world's first large-scale electrically heated steam cracking furnace,https://www.basf.com/global/en/media/news-releases/2024/04/p-24-177,2024,Electric cracker demonstration; furnace CO2 cut up to ~90%
technologies,hvc_bio,IEA,The Future of Petrochemicals,https://www.iea.org/reports/the-future-of-petrochemicals,2018,Bio-naphtha as drop-in feedstock displacing fossil naphtha
technologies,ammonia_smr,IEA,Ammonia Technology Roadmap,https://www.iea.org/reports/ammonia-technology-roadmap,2021,Reference SMR-Haber-Bosch natural gas intensity ~28-32 GJ/t NH3
technologies,ammonia_h2,Yara International,Yara opens renewable hydrogen plant: a major milestone,https://www.yara.com/corporate-releases/yara-opens-renewable-hydrogen-plant-a-major-milestone/,2024,First commercial green-ammonia plant (Heroya) inaugurated 2024; calibrates available_from
technologies,alu_ref,JRC (European Commission),Aluminium factsheet (JRC144120),https://publications.jrc.ec.europa.eu/repository/bitstream/JRC144120/Aluminium_factsheet_JRC144120.pdf,2026,Direct anode process CO2 ~1.4 tCO2/t primary Al implied by ~2.75 Mt / ~2 Mt production
technologies,alu_ref,International Aluminium Institute (IAI),Statistics,https://international-aluminium.org/statistics/,2024,Primary smelting electricity intensity ~14-15 MWh/t (~51 GJ/t)
technologies,alu_inert,ELYSIS,ELYSIS achieves breakthrough with commercial-size cell,https://elysis.com/en/elysis-achieves-breakthrough-with-commercial-size-cell-a-first-in-aluminium-production-using-the,2025,Full-scale 450 kA commercial-size inert-anode cell started up Nov 2025; eliminates direct process CO2
technologies,alu_sec,Material Economics,Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry,https://materialeconomics.com/sites/default/files/2024-06/material-economics-industrial-transformation-2050-executive-summary.pdf,2019,Secondary aluminium uses ~5% of primary smelting energy; scrap-supply constrained
technologies,glass_ng,European Commission (CINEA),How LIFE is reducing emissions from glass production,https://cinea.ec.europa.eu/news-events/news/how-life-reducing-emissions-glass-production-2022-03-16_en,2022,Reference gas-fired melting energy ~5-7 GJ/t and process CO2 from carbonate raw materials
technologies,glass_elec,IEA,ETP Clean Energy Technology Guide (technology readiness levels),https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide,2024,All-electric melting TRL and availability
technologies,glass_hybrid,IEA,ETP Clean Energy Technology Guide (technology readiness levels),https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide,2024,"Large hybrid furnace TRL 6-8, emerging"
technologies,paper_ref,CEPI,Key Statistics 2022 - European pulp & paper industry,https://www.cepi.org/wp-content/uploads/2023/07/2022-Key-Statistics-FINAL.pdf,2022,Reference fossil process-heat intensity order of magnitude
fuel_prices,coal,IEA,World Energy Outlook 2024,https://www.iea.org/reports/world-energy-outlook-2024,2024,"Steam coal industrial price path, central scenario order of magnitude ~EUR3/GJ"
fuel_prices,coke,IEA,World Energy Outlook 2024,https://www.iea.org/reports/world-energy-outlook-2024,2024,Metallurgical coke priced at a premium to thermal coal (~2x)
fuel_prices,natural_gas,IEA,World Energy Outlook 2024,https://www.iea.org/reports/world-energy-outlook-2024,2024,"EU industrial natural gas price path, central scenario, declining from ~EUR10/GJ (2025)"
fuel_prices,electricity,Eurostat,Electricity price statistics,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Electricity_price_statistics,2024,"EU-27 industrial electricity price ~EUR24/GJ (~EUR86/MWh) in 2025, declining as renewables share rises"
fuel_prices,biomass,IEA Bioenergy,Decarbonizing industrial process heat: the role of biomass,https://www.ieabioenergy.com/blog/publications/decarbonizing-industrial-process-heat-the-role-of-biomass/,2022,Solid biomass/residue fuel price order of magnitude ~EUR8/GJ
fuel_prices,oil,IEA,World Energy Outlook 2024,https://www.iea.org/reports/world-energy-outlook-2024,2024,"Industrial oil/naphtha price path, central scenario order of magnitude ~EUR14/GJ"
carbon_price,eu_ets,European Commission (DG CLIMA),2040 Climate Target,https://commission.europa.eu/topics/climate-action/eu-climate-energy-and-environmental-targets/2040-targets_en,2024,"Central EU ETS price path ~EUR80/t (2025) rising to ~EUR200/t (2040) and ~EUR250/t (2050); low/high bands constructed around this by the model team, consistent with the range of EC impact-assessment and market-forward modelling"
carbon_price,eu_ets,ICAP,EU Emissions Trading System (EU ETS),https://icapcarbonaction.com/en/ets/eu-emissions-trading-system-eu-ets,2025,Historical and current EUA price context used to anchor the 2025 starting point
emission_factors,coal,IPCC,"2006 IPCC Guidelines for National Greenhouse Gas Inventories, Vol. 2 (Energy)",https://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html,2006,"Default combustion emission factor for coal, ~94 kgCO2/GJ"
emission_factors,coke,IPCC,"2006 IPCC Guidelines for National Greenhouse Gas Inventories, Vol. 2 (Energy)",https://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html,2006,"Default combustion emission factor for coke oven coke, ~107 kgCO2/GJ"
emission_factors,natural_gas,IPCC,"2006 IPCC Guidelines for National Greenhouse Gas Inventories, Vol. 2 (Energy)",https://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html,2006,"Default combustion emission factor for natural gas, ~56 kgCO2/GJ"
emission_factors,oil,IPCC,"2006 IPCC Guidelines for National Greenhouse Gas Inventories, Vol. 2 (Energy)",https://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html,2006,"Default combustion emission factor for gas/diesel oil & naphtha, ~73 kgCO2/GJ"
emission_factors,hydrogen,IPCC AR6 WGIII,Chapter 11: Industry,https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-11/,2022,Zero combustion CO2 for hydrogen; upstream emissions depend on production route (not modelled at combustion stage)
emission_factors,biomass,IPCC AR6 WGIII,Chapter 11: Industry,https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-11/,2022,Biomass combustion CO2 conventionally reported as zero at point of combustion (biogenic carbon accounting); land-use/supply-chain emissions not modelled here
emission_factors,electricity,European Environment Agency (EEA),Greenhouse gas emission intensity of electricity generation (indicator),https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,2024,EU-27 grid emission factor ~0.065 tCO2/GJ (~230 gCO2/kWh) in 2025 falling to ~0.003 tCO2/GJ by 2050 as the grid decarbonises
constraints,scrap_share_max,Material Economics,Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry,https://materialeconomics.com/sites/default/files/2024-06/material-economics-industrial-transformation-2050-executive-summary.pdf,2019,"Steel scrap availability rising from ~45% (2025) to ~55% (2050) of demand servable by scrap-EAF; aluminium secondary share rising ~55% to ~65%, both circularity-constrained"
constraints,biomass_pj_max,JRC (European Commission),Brief on biomass for energy in the European Union,https://publications.jrc.ec.europa.eu/repository/handle/JRC109354,2019,Sustainable biomass availability for industrial energy use constrained to an order-of-magnitude ceiling of ~300 PJ/yr across all EU-27 industry
constraints,ccs_mt_max,Global CCS Institute,Global Status of CCS report series,https://www.globalccsinstitute.com/,2024,EU CO2 transport & storage network ramp-up: ~0 Mt/yr (2025) to ~100 Mt/yr (2050) capturable across all subsectors
constraints,ccs_mt_max,Clean Air Task Force,Carbon capture and storage in Europe: slow but significant progress in 2025,https://www.catf.us/2025/11/carbon-capture-storage-europe-slow-but-significant-progress-2025/,2025,"Status of first EU CO2 storage/transport projects (Northern Lights, Porthos, Greensand) calibrating the near-term ramp"
demand,steel,Eurofer,European Steel in Figures 2024,https://www.eurofer.eu/publications/brochures-booklets-and-factsheets/european-steel-in-figures-2024,2024,Demand path assumed broadly flat-to-declining from the 2023 production base
demand,cement,Cembureau,Key Facts & Figures,https://www.cembureau.eu/media/00ejjcfj/key-facts-figures-publication-june-2024.pdf,2024,Demand path assumed broadly flat-to-declining from the 2023 production base
demand,aluminium,International Aluminium Institute (IAI),Statistics,https://international-aluminium.org/statistics/,2024,"Demand path assumed slight growth, reflecting continued electrification-driven aluminium demand"
demand,hvc,IEA,The Future of Petrochemicals,https://www.iea.org/reports/the-future-of-petrochemicals,2018,Demand path assumed slight growth
technologies,discount_rate,IPCC,"AR6 WGIII, Chapter 11: Industry",https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-11/,2022,"7% social/industry discount rate and capital recovery factor approach used to annualise CAPEX, consistent with standard industrial decarbonisation cost-modelling practice"
demand,ammonia,Fertilizers Europe,Fertilizer Industry Facts and Figures 2023 edition,https://www.fertilizerseurope.com/publications/fertilizers-industry-facts-and-figures-2023-edition/,2024,Demand path assumed broadly flat-to-slightly-declining from the 2023 production base
demand,glass,FEVE (European Container Glass Federation),Statistics,https://feve.org/about-glass/statistics/,2024,Demand path assumed broadly flat from the 2023 production base
demand,paper,CEPI,Key Statistics 2022 - European pulp & paper industry,https://www.cepi.org/wp-content/uploads/2023/07/2022-Key-Statistics-FINAL.pdf,2022,Demand path assumed gently declining from the 2023 production base
scenarios,multiple,ESABCC Method Hub (model team),Model README - sensitivity scenario methodology,src/app/project-workspace/industry-project/optimization/model/README.md,2026,"All 13 scenarios (1 central + 12 sensitivities) are prototype modelling assumptions (parameter multipliers applied to already-sourced central inputs), not independent literature values; see the README for the full methodology and per-scenario definitions."
technologies,steel_bfbof_ccs,Danish Energy Agency,"Technology Data for Carbon Capture, Transport and Storage",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage,2024,"Sheet 401.c (post-combustion capture, cement-kiln flue gas, used as CO2-concentration proxy for BF-BOF top gas): specific investment, fixed/var O&M per tCO2 captured, 25-yr capture-unit lifetime; now the primary source, replacing the generic IEAGHG (2018) estimate."
technologies,cement_ccs,Danish Energy Agency,"Technology Data for Carbon Capture, Transport and Storage",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage,2024,"Sheet 401.c (post-combustion capture retrofit, 4500 t clinker/day cement kiln - a direct technology match): specific investment, fixed/var O&M per tCO2 captured, 25-yr capture-unit lifetime; now the primary source, replacing the generic IEAGHG (2018) estimate. Heidelberg Materials retained for available_from calibration."
technologies,cement_altfuel,Danish Energy Agency,Technology Data for Industrial Process Heat,https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat,2026,"Sheet 7.2 (direct firing of solid fuels, 100% net efficiency) used as the closest available DEA proxy for alternative/biomass kiln-fuel firing; DEA has no cement-kiln-specific alt-fuel sheet, so IEA/CSI (2018) is retained for kiln-level capex/opex/lifetime, with DEA as the primary technical cross-check per the model's DEA-primary-source policy."
technologies,hvc_elec,Danish Energy Agency,Technology Data for Industrial Process Heat,https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat,2026,"Sheet 7.3 (direct electric firing, 100% net efficiency, up to 2000 degC) confirms electrified cracking-furnace heat supply is well within DEA's technical envelope; DEA prices heating elements only, so BASF/SABIC/Linde (2024) is retained for full e-cracker capex/opex/lifetime, with DEA as the primary technical cross-check per the model's DEA-primary-source policy."
technologies,hvc_ccs,Danish Energy Agency,"Technology Data for Carbon Capture, Transport and Storage",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage,2024,"Sheet 401.a (post-combustion capture, dilute ~15% CO2 CHP/biomass flue gas, used as proxy for cracker-furnace flue gas - DEA has no HVC-specific sheet): specific investment, fixed/var O&M per tCO2 captured, 25-yr capture-unit lifetime; now the primary source, replacing the generic IEAGHG (2018) estimate."
technologies,ammonia_smr_ccs,Danish Energy Agency,"Technology Data for Carbon Capture, Transport and Storage",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage,2024,"Sheet 401.c (post-combustion capture, cement-kiln flue gas used as moderate-CO2-concentration proxy - DEA has no SMR/ammonia-specific sheet): specific investment, fixed/var O&M per tCO2 captured, 25-yr capture-unit lifetime; now the primary source, replacing the IEA (2021) Ammonia Technology Roadmap-implied capture premium."
technologies,ammonia_h2,Danish Energy Agency,Technology Data for Renewable Fuels,https://ens.dk/en/analyses-and-statistics/technology-data-renewable-fuels,2026,"Sheet 5.4 (Hydrogen to Ammonia, Haber-Bosch synthesis excl. electrolyser and excl. ASU): specific investment, fixed/var O&M, 30-yr lifetime; now the primary source. Correctly excludes electrolyser capex, which is already reflected in the purchased-hydrogen carrier price (see fuel_prices,hydrogen below), avoiding the double-counting implicit in the prior IEA (2021) Ammonia Technology Roadmap Executive Summary bundled estimate. Yara International (2024) retained for available_from calibration."
technologies,glass_elec,Danish Energy Agency,Technology Data for Industrial Process Heat,https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat,2026,"Sheet 7.3 (direct electric firing: 100% net efficiency, up to 2000 degC, 20-yr technical lifetime) confirms all-electric glass melting is well within DEA's technical envelope and grounds the updated 20-yr lifetime; DEA prices heating elements only (not furnace shell/refractories/forming equipment), so IEA (2024) ETP is retained for furnace-level capex/opex, with DEA as the primary technical cross-check per the model's DEA-primary-source policy."
technologies,glass_hybrid,Danish Energy Agency,Technology Data for Industrial Process Heat,https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat,2026,"Blend of sheet 7.3 (direct electric firing) and sheet 6.1 (gas/oil boiler) as proxies for the electric and gas-fired shares of a hybrid furnace; grounds the updated 18-yr lifetime. DEA prices heating elements/burners only, so IEA (2024) ETP is retained for furnace-level capex/opex, with DEA as the primary technical cross-check per the model's DEA-primary-source policy."
technologies,paper_elec,Danish Energy Agency,Technology Data for Industrial Process Heat,https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat,2026,"Sheet 2.a (high-temperature heat pump up to 125 degC): COP 2.7-2.95 (2025-2050), 1.15 M EUR/MW nominal investment (2030 est.), 20-yr technical lifetime; now the primary source, replacing IEA (2022) Future of Heat Pumps as the quantitative basis for capex, electricity intensity and lifetime."
technologies,paper_bio,Danish Energy Agency,Technology Data for Industrial Process Heat,https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat,2026,"Sheet 6.2 (biomass boiler): 88.9% annual-average efficiency, 0.878 M EUR/MW nominal investment (2025), 25-yr technical lifetime; now the primary source, replacing IEA Bioenergy (2022) as the quantitative basis for capex, fuel intensity and lifetime."
fuel_prices,hydrogen,Danish Energy Agency,Technology Data for Renewable Fuels,https://ens.dk/en/analyses-and-statistics/technology-data-renewable-fuels,2026,"Sheet 1.1 (alkaline electrolysis, AEC, 100 MW plant): bottom-up levelised cost of hydrogen from DEA electrolyser capex (975->300 EUR/kW, 2025->2050), 4%/yr fixed O&M, 25-yr lifetime (7% WACC CRF), DEA stack+BOP electricity consumption (56.7->47.6 kWh/kg H2), 8000 full-load h/yr, and this model's own Eurostat electricity price path; now the primary source, replacing the IEA (2024) Global Hydrogen Review market-price path, which this bottom-up calculation shows was materially more optimistic (17-40% below the DEA-grounded figure, widening over the horizon)."
fuel_prices,electricity,Danish Energy Agency,Technology Data for Generation of Electricity and District Heat,https://ens.dk/en/analyses-and-statistics/technology-data-generation-electricity-and-district-heating,2025,"Reviewed as a possible source for the industrial electricity price path but not adopted: this DEA catalogue prices generation technologies (LCOE), not the retail/industrial electricity price this table needs, so Eurostat market-price statistics remain the more appropriate and directly applicable source."
fuel_prices,biomass,Danish Energy Agency,Technology Data for Renewable Fuels,https://ens.dk/en/analyses-and-statistics/technology-data-renewable-fuels,2026,"Reviewed as a possible source for the biomass feedstock price path but not adopted: this DEA catalogue prices biomass-conversion plant technologies (boilers, gasifiers, pyrolysis), not EU biomass feedstock market prices, so the IEA Bioenergy feedstock-price estimate is retained."
technologies,multiple,Danish Energy Agency,"Technology Data catalogue series (Industrial Process Heat; Carbon Capture, Transport and Storage; Renewable Fuels; Generation of Electricity and District Heat)",https://ens.dk/en/analyses-and-statistics/technology-data,2024-2026,"Per explicit user direction, the DEA Technology Data catalogue series is the primary source for this model wherever it plausibly covers the underlying equipment (all CCS variants; paper/glass/HVC electrification and biomass/alt-fuel heat; electrolytic-hydrogen ammonia synthesis and the hydrogen price path). Where DEA genuinely has no coverage (BF-BOF/DRI/EAF steel process metallurgy, cement clinker kilns, steam crackers, aluminium smelting, SMR reforming), the pre-existing IEA/IEAGHG/JRC/etc. sources remain primary - DEA is primary, not exclusive, consistent with data-quality requirements."
capex_trajectory,steel_h2dri_eaf,IRENA,Green Hydrogen Cost Reduction: Scaling up Electrolysers to Meet the 1.5C Climate Goal,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,2020,"Electrolysis-adjacent one-factor learning-rate band (16-21% per doubling for electrolysers/fuel cells) applied to H2-DRI+EAF's 2025-2050 capex trajectory (18% LR x ~2 assumed EU capacity doublings, ~33% total decline)."
capex_trajectory,alu_inert,IRENA,Green Hydrogen Cost Reduction: Scaling up Electrolysers to Meet the 1.5C Climate Goal,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,2020,"Electrolysis-adjacent one-factor learning-rate band (lower end of 16-21%) applied to inert-anode primary aluminium smelting's 2025-2050 capex trajectory (15% LR x ~2 assumed EU capacity doublings, ~28% total decline)."
capex_trajectory,steel_h2dri_eaf,DIW Berlin,Revisiting Investment Costs for Green Steel (Discussion Paper 2082),https://www.diw.de/documents/publikationen/73/diw_01.c.901039.de/dp2082.pdf,2024,"Cross-check only (not the quantitative source): shows literature H2-DRI investment-cost estimates vary widely and can be sticky, supporting a moderate (not maximal) capacity-doublings assumption for the learning-curve trajectory."
capex_trajectory,steel_ngdri_eaf,"Rubin, Azevedo, Jaramillo & Yeh",A Review of Learning Rates for Electricity Supply Technologies,https://www.cmu.edu/epp/iecm/rubin/PDF%20files/2015/A%20review%20of%20learning%20rates%20for%20electricity%20supply%20technologies.pdf,2015,"General one-factor learning-curve meta-analysis; mature-process-kit LR band (3-5%) applied to transitional NG-DRI+EAF's 2025-2050 capex trajectory (4% LR x ~1 assumed EU capacity doubling, ~4% total decline)."
capex_trajectory,cement_clinkersub,"Rubin, Azevedo, Jaramillo & Yeh",A Review of Learning Rates for Electricity Supply Technologies,https://www.cmu.edu/epp/iecm/rubin/PDF%20files/2015/A%20review%20of%20learning%20rates%20for%20electricity%20supply%20technologies.pdf,2015,"General one-factor learning-curve meta-analysis; novel-process-equipment LR band (8-12%) applied to LC3 clinker substitution's 2025-2050 capex trajectory (8% LR x ~1.5 assumed EU capacity doublings, ~12% total decline)."
capex_trajectory,hvc_bio,"Rubin, Azevedo, Jaramillo & Yeh",A Review of Learning Rates for Electricity Supply Technologies,https://www.cmu.edu/epp/iecm/rubin/PDF%20files/2015/A%20review%20of%20learning%20rates%20for%20electricity%20supply%20technologies.pdf,2015,"General one-factor learning-curve meta-analysis; mature-process-kit LR band (3-5%) applied to bio-naphtha cracking's 2025-2050 capex trajectory (4% LR x ~1 assumed EU capacity doubling, ~4% total decline)."
capex_trajectory,multiple (CCS variants; paper_elec; paper_bio; ammonia_h2; hvc_elec; glass_elec; glass_hybrid; cement_altfuel),Danish Energy Agency,"Technology Data catalogue series (Industrial Process Heat; Carbon Capture, Transport and Storage; Renewable Fuels)",https://ens.dk/en/analyses-and-statistics/technology-data,2024-2026,"2025/30/40/50 (2035/45 interpolated) DEA per-sheet cost projections re-used to derive the relative 2025->2050 CAPEX decline PROFILE applied to each tech's technologies.csv 2025 capex anchor (for CCS variants, the profile is applied only to the capture add-on portion; base process capex held flat). See capex_trajectory.csv basis column per tech/year for the exact sheet and computation."
scenarios,learning_fast / learning_slow,ESABCC Method Hub (model team),Model README - sensitivity scenario methodology,src/app/project-workspace/industry-project/optimization/model/README.md,2026,"Two new sensitivity scenarios varying the capex-decline exponent (factor 1.5 / 0.5) applied to the capex_trajectory.csv ratio-to-2025 profile; prototype modelling assumptions, not independent literature values."
