tech,subsector,name,capex_eur_t,fixed_opex_eur_t,var_opex_eur_t,lifetime_yr,available_from,max_build_share,capture_rate,process_co2_t_t,source,source_url
hvc_elec,hvc,Electric steam cracker (e-cracker),850,32,560,30,2030,0.15,0.0,0.0,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 7.3, direct electric firing: 100% net efficiency, heat supply up to 2000 degC, technically consistent with electrically heated cracking-furnace tube temperatures ~850 degC). Capex/fixed/var opex and the 30-yr lifetime retained from BASF / SABIC / Linde (2024)'s e-cracker demonstration: DEA's sheet prices resistive heating elements alone (~0.07 M EUR/MW, converting to a small fraction of this technology's capex) and excludes the cracker tubes, compressors and separation train that dominate real e-cracker capex - a wide divergence, noted, with the fuller-scope BASF-anchored literature figure kept as the defensible capex/opex/lifetime.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
hvc_bio,hvc,Bio-naphtha fed cracker,720,30,620,30,2027,0.15,0.0,0.0,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_ccs,hvc,Steam cracker with CCS,1020,39,555,25,2032,0.15,0.65,0.0,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage (sheet 401.a, post-combustion capture retrofit on a dilute ~15% CO2 CHP/biomass flue gas, used as the closest available DEA proxy for cracker-furnace flue gas - DEA has no HVC/steam-cracker-specific capture sheet); converted at 0.539 tCO2 captured/t HVC (0.65 capture rate on ~0.83 tCO2/t pre-capture combustion CO2), 8000 full-load h/yr, DEA specific investment 4.8 M EUR/(tCO2/h) (2030, higher than the cement-kiln stream because dilute flue gas costs more per tCO2 captured) -> capture add-on ~324 EUR/(t/yr) on top of the unchanged hvc_ref cracker capex (700); this is materially higher than the prior generic IEAGHG (2018) add-on (200 EUR/t) - adopted the DEA-grounded (higher) figure as the more defensible, dilute-stream-consistent estimate. Fixed O&M add-on similarly raised (9.4 vs 5 EUR/t); variable O&M add-on (DEA solvent/consumable cost only, 1.4 EUR/t) is well below the prior generic estimate (10 EUR/t) so a smaller blended reduction was applied (560->555) to avoid understating broader non-energy consumable costs DEA does not price.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
ammonia_smr,ammonia,Steam methane reforming Haber-Bosch (reference),650,25,40,25,2025,0.3,0.0,0.0,"IEA (2021), Ammonia Technology Roadmap",https://www.iea.org/reports/ammonia-technology-roadmap
ammonia_smr_ccs,ammonia,SMR + CCS (blue ammonia),1020,36,45,25,2026,0.15,0.6,0.0,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage (sheet 401.c, post-combustion capture on cement-kiln-like moderate-concentration flue gas, used as the closest available DEA proxy - DEA has no SMR/ammonia-specific capture sheet); converted at 1.025 tCO2 captured/t NH3 (0.6 capture rate on ~1.71 tCO2/t pre-capture reformer flue-gas CO2), 8000 full-load h/yr, DEA specific investment ~2.9 M EUR/(tCO2/h) (2025/26) -> capture add-on ~372 EUR/(t/yr) on top of the unchanged ammonia_smr capex (650); materially higher than the prior IEA (2021) Ammonia Technology Roadmap-implied add-on (250 EUR/t) - adopted the DEA-grounded (higher) figure. Fixed O&M add-on (10.9 EUR/t) closely matches the prior estimate (10 EUR/t, minimal change); variable O&M add-on (DEA solvent-only, 2.6 EUR/t) is well below the prior generic estimate (15 EUR/t) so a smaller blended reduction was applied (55->45) to avoid understating catalyst/other non-energy variable costs DEA does not price for this route.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
ammonia_h2,ammonia,Electrolytic hydrogen Haber-Bosch (green ammonia),1000,30,40,30,2026,0.15,0.0,0.0,"Danish Energy Agency (2026), Technology Data for Renewable Fuels (sheet 5.4, Hydrogen to Ammonia, Haber-Bosch synthesis excl. electrolyser and excl. ASU); converted at 18.9 GJ/t NH3 specific energy content, 8000 full-load h/yr, DEA specific investment ~1.5 M EUR/MW NH3 output (2025/26 interpolated) -> 1000 EUR/(t/yr), notably lower than the prior IEA (2021) Ammonia Technology Roadmap Executive Summary estimate (1500 EUR/t): the DEA sheet deliberately excludes the electrolyser, whose capex is already reflected in the purchased-hydrogen carrier price (fuel_prices.csv) - the prior 1500 EUR/t figure double-counted electrolyser capex once via the H2 price and once via plant capex; the DEA synthesis-only figure corrects this. Fixed O&M similarly reduced (45->30 EUR/t/yr, DEA ~46 k EUR/MW/yr converted); variable O&M retained close to the prior estimate (45->40 EUR/t) since DEA's synthesis-only variable cost (0.11 EUR/t) excludes the air-separation-unit (ASU/N2 supply) consumables that dominate green-ammonia non-energy variable cost. Lifetime raised to 30 yr (DEA HB-synthesis plant lifetime) from 20 yr. Yara International (2024) Heroya plant retained for the available_from=2026 calibration.",https://ens.dk/en/analyses-and-statistics/technology-data-renewable-fuels
alu_ref,aluminium,"Hall-Heroult primary smelting, grid electricity (reference)",3500,60,900,30,2025,0.3,0.0,1.4,"JRC (European Commission) (2026), Aluminium factsheet (JRC144120); International Aluminium Institute (IAI) (2024), Statistics",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC144120/Aluminium_factsheet_JRC144120.pdf
alu_inert,aluminium,Inert anode primary smelting (ELYSIS),3800,65,850,30,2032,0.15,0.0,0.0,"ELYSIS (2025), ELYSIS achieves breakthrough with commercial-size cell",https://elysis.com/en/elysis-achieves-breakthrough-with-commercial-size-cell-a-first-in-aluminium-production-using-the
alu_sec,aluminium,"Secondary (recycled) aluminium, scrap-limited",700,20,750,25,2025,0.25,0.0,0.0,"Material Economics (2019), Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry",https://materialeconomics.com/sites/default/files/2024-06/material-economics-industrial-transformation-2050-executive-summary.pdf
glass_ng,glass,Natural-gas fired melting (reference),120,8,90,15,2025,0.3,0.0,0.15,"European Commission (CINEA) (2022), How LIFE is reducing emissions from glass production",https://cinea.ec.europa.eu/news-events/news/how-life-reducing-emissions-glass-production-2022-03-16_en
glass_elec,glass,All-electric melting,150,9,88,20,2025,0.2,0.0,0.15,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 7.3, direct electric firing: 100% net efficiency, heat supply up to 2000 degC by 2030, 20-yr technical lifetime) - confirms all-electric glass melting is thermally and technically well within DEA's direct-electric-firing envelope. Capex/fixed/var opex retained from IEA (2024) ETP Clean Energy Technology Guide (150/9/88 EUR/t): DEA's sheet prices the resistive heating elements alone (~0.07 M EUR/MW, which converts to only ~13 EUR/(t/yr) at this technology's energy intensity) and does not include the furnace shell, refractories, batch/feeding and forming equipment that dominate a full electric-melter rebuild cost - a wide (>10x) divergence versus furnace-level literature estimates, so the fuller-scope IEA figure was kept as the defensible capex/opex. Lifetime raised from 15 to 20 yr per DEA's direct-electric-firing technical lifetime.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
glass_hybrid,glass,Hybrid natural-gas / electric / hydrogen melting,140,8.5,89,18,2027,0.2,0.0,0.15,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (blend of sheet 7.3 direct electric firing, up to 2000 degC, 20-yr lifetime, and sheet 6.1 gas/oil boiler, 94% efficiency, 25-yr lifetime, as proxies for the electric and gas-fired shares of a hybrid furnace). Capex/fixed/var opex retained from IEA (2024) ETP Clean Energy Technology Guide (140/8.5/89 EUR/t): as with glass_elec, DEA's per-MW figures price heating elements/burners only, not a full hybrid furnace rebuild - the wide divergence is noted and the fuller-scope literature figure was kept. Lifetime raised from 15 to 18 yr, a blended estimate between the DEA electric (20 yr) and gas (25 yr) equipment lifetimes and the shorter real-world furnace campaign life typical of hybrid melters.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
paper_ref,paper,Natural-gas CHP process heat (reference),250,20,300,25,2025,0.25,0.0,0.0,"CEPI (2022), Key Statistics 2022 - European pulp & paper industry",https://www.cepi.org/wp-content/uploads/2023/07/2022-Key-Statistics-FINAL.pdf
paper_elec,paper,Electrification / high-temperature heat pumps,300,21,295,20,2027,0.15,0.0,0.0,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 2.a, high-temperature heat pump up to 125 degC); converted at 7.5 GJ/t useful process heat (from the unchanged paper_ref 8 GJ/t natural-gas input at 94% DEA boiler efficiency, sheet 6.1), 8000 full-load h/yr, DEA nominal investment 1.15 M EUR/MW (2030 est., since available_from=2027) -> 300 EUR/(t/yr), consistent with the prior IEA (2022) Future of Heat Pumps estimate (280 EUR/t). Fixed O&M retained at ~7% of capex (21 EUR/t/yr) since DEA's equipment-only fixed O&M (EUR2456/MW/yr, ~0.2% of capex) reflects heat-pump unit maintenance only, not the mill's broader fixed operating cost; variable O&M unchanged (295 EUR/t) for the same reason. Lifetime (20 yr) matches the prior estimate exactly.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
paper_bio,paper,Biomass residues (incl. black liquor) process heat,230,16,290,25,2025,0.15,0.0,0.0,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 6.2, biomass boiler); converted at 7.5 GJ/t useful process heat and 88.9% DEA annual-average boiler efficiency -> 8.5 GJ/t biomass fuel input (down slightly from the prior 9 GJ/t IEA Bioenergy estimate), 8000 full-load h/yr, DEA nominal investment 0.878 M EUR/MW (2025) -> 230 EUR/(t/yr), down from the prior 260 EUR/t. Fixed O&M partially adopted (20->16 EUR/t/yr): DEA's boiler-only fixed O&M (converted, ~10 EUR/t/yr) omits solid-biomass handling, storage and ash-removal costs that are material for this fuel, so a blended value above the pure DEA figure was retained. Variable O&M unchanged (290 EUR/t, dominated by broader mill non-energy variable costs DEA's boiler-only figure - ~3 EUR/t - does not capture). Lifetime (25 yr) matches the prior estimate exactly.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
